car_model,km,car_type,out_color,in_color,seat_num,door_num,price,new_old,car_year,price.1,area
audi-q5,20000,SUV,Trắng,Nâu,5,5,1960,Xe cũ,2017,1960,Hà Nội
audi-q5,90000,SUV,Trắng,Nâu,5,4,899,Xe cũ,2013,899,Bắc Ninh
audi-q5,90000,SUV,Trắng,Nâu,5,5,980,Xe cũ,2012,980,Hà Nội
audi-q5,15000,SUV,Đen,Nâu,5,5,1880,Xe cũ,2017,1880,Hà Nội
audi-q5,49000,SUV,Trắng,Đen,5,5,1199,Xe cũ,2014,1199,TP HCM
audi-q5,40000,SUV,Trắng,Đen,5,5,1350,Xe cũ,2015,1350,Hà Nội
audi-q5,35000,SUV,Trắng,Nâu,5,5,1520,Xe cũ,2016,1520,TP HCM
audi-q5,34000,SUV,Trắng,Đen,5,5,289,Xe cũ,2017,289,Hà Nội
audi-q5,82000,SUV,Đen,Đen,5,5,980,Xe cũ,2011,980,Hà Nội
audi-q5,52700,SUV,Nâu,Trắng,5,5,150,Xe cũ,2013,150,TP HCM
audi-q5,3200,SUV,Đen,Nâu,5,5,2200,Xe cũ,2018,2200,Hà Nội
audi-q5,0,SUV,Trắng,Đen,5,4,1999,Xe cũ,2017,1999,Hà Nội
audi-a6,40000,Sedan,Trắng,Kem,5,4,199,Xe cũ,2013,199,Hà Nội
audi-a6,35000,Sedan,Trắng,Nâu,5,4,189,Xe cũ,2013,189,Hà Nội
audi-a6,35000,Sedan,Trắng,Nâu,5,4,1299,Xe cũ,2015,1299,Hà Nội
audi-a6,30000,Sedan,Trắng,Nâu,5,4,1579,Xe cũ,2015,1579,Hà Nội
audi-a6,32000,Sedan,Cát,Đen,5,4,1540,Xe cũ,2016,1540,TP HCM
audi-a6,0,Sedan,Vàng,Đen,5,4,1545,Xe cũ,2016,1545,Hà Nội
audi-a6,27000,Sedan,Nâu,Đen,5,4,1545,Xe cũ,2016,1545,Hà Nội
audi-a6,25000,Sedan,Cát,Đen,5,4,1540,Xe cũ,2016,1540,Hà Nội
audi-a6,20000,Sedan,Vàng,Đen,5,4,1545,Xe cũ,2016,1545,Hà Nội
audi-a6,85000,Sedan,Trắng,Đen,5,4,150,Xe cũ,2013,150,Hà Nội
audi-a6,19000,Sedan,Trắng,Nâu,5,4,1500,Xe cũ,2016,1500,TP HCM
audi-a6,0,Sedan,Trắng,Đen,5,4,1530,Xe cũ,2016,1530,Hà Nội
audi-a6,69000,Sedan,Trắng,Đen,5,4,583,Xe cũ,2009,583,Hà Nội
audi-a6,21000,Sedan,Trắng,Nâu,5,4,1550,Xe cũ,2016,1550,Hà Nội
audi-a6,55000,Sedan,Trắng,Đen,5,5,1319,Xe cũ,2015,1319,Đồng Nai
audi-a6,15000,Sedan,Đen,Nâu,5,4,1630,Xe cũ,2017,1630,Hà Nội
audi-a6,20000,Sedan,Trắng,Nâu,5,4,1550,Xe cũ,2016,1550,Hà Nội
audi-a6,120000,Sedan,Đỏ,Nâu,5,4,520,Xe cũ,2009,520,Hà Nội
audi-a6,21000,Sedan,Bạc,Đen,5,4,1545,Xe cũ,2016,1545,Hà Nội
audi-a6,30000,Sedan,Trắng,Nâu,5,4,199,Xe cũ,2014,199,Hà Nội
audi-a6,68800,Sedan,Xanh,Kem,5,4,990,Xe cũ,2013,990,TP HCM
audi-a6,120000,Sedan,Đen,Đen,5,4,545,Xe cũ,2010,545,Hà Nội
audi-a6,70000,Sedan,Trắng,Nâu,5,4,819,Xe cũ,2011,819,Hà Nội
audi-a6,138000,Sedan,Trắng,Đen,5,4,720,Xe cũ,2010,720,TP HCM
audi-a6,100000,Sedan,Đỏ,Đen,5,4,460,Xe cũ,2008,460,Lâm Đồng
audi-a6,58092,Sedan,Trắng,Nâu,5,4,1459,Xe cũ,2015,1459,TP HCM
audi-a6,35000,Sedan,Trắng,Nâu,5,4,1600,Xe cũ,2016,1600,Nghệ An
audi-a6,60000,Sedan,Trắng,Đen,5,4,555,Xe cũ,2008,555,Hà Nội
audi-a6,30000,Sedan,Đen,Nâu,5,4,1499,Xe cũ,2016,1499,Hà Nội
audi-a6,15000,Sedan,Đen,Nâu,5,4,1510,Xe cũ,2015,1510,Hà Nội
audi-a6,66000,Sedan,Đen,Kem,5,4,629,Xe cũ,2011,629,Hà Nội
audi-a6,10000,Sedan,Đen,Đen,5,4,380,Xe cũ,2006,380,Quảng Ninh
audi-a6,30000,Sedan,Trắng,Đen,5,4,1388,Xe cũ,2016,1388,TP HCM
audi-a6,15250,Sedan,Đen,-,5,4,1620,Xe cũ,2018,1620,TP HCM
audi-a4,28000,Sedan,Trắng,Nâu,5,4,1150,Xe cũ,2016,1150,TP HCM
audi-a4,45542,Sedan,Đen,Đen,5,4,1160,Xe cũ,2016,1160,TP HCM
audi-a4,60000,Sedan,Trắng,Đen,5,4,790,Xe cũ,2014,790,Hải Phòng
audi-a4,0,Sedan,Đen,Đen,5,4,980,Xe cũ,2012,980,TP HCM
audi-a4,10000,Sedan,Đen,Đen,5,4,1250,Xe cũ,2016,1250,Hà Nội
audi-a4,59000,Sedan,Trắng,Đen,5,4,870,Xe cũ,2015,870,TP HCM
audi-a4,39000,Sedan,Trắng,Đen,5,4,875,Xe cũ,2015,875,TP HCM
audi-a4,70000,Sedan,Trắng,Đen,5,4,635,Xe cũ,2010,635,Lâm Đồng
audi-a4,16000,Sedan,Vàng,Đen,5,4,1350,Xe cũ,2017,1350,TP HCM
audi-a4,70000,Sedan,Đỏ,Kem,5,5,520,Xe cũ,2008,520,Lâm Đồng
audi-a4,60000,Sedan,Trắng,Đen,5,4,870,Xe cũ,2015,870,TP HCM
audi-a4,70000,Sedan,Đen,Đen,5,4,450,Xe cũ,2006,450,TP HCM
audi-a4,59000,Sedan,Trắng,Đen,5,4,870,Xe cũ,2015,870,TP HCM
audi-a4,43256,Sedan,Xanh,Nâu,5,4,1300,Xe cũ,2016,1300,TP HCM
audi-a4,70000,Sedan,Đen,Đen,5,5,480,Xe cũ,2009,480,TP HCM
audi-a4,50000,Sedan,Đen,Đen,5,4,580,Xe cũ,2010,580,Hà Nội
audi-a4,100000,Sedan,Trắng,Kem,5,4,570,Xe cũ,2010,570,Hà Nội
audi-a4,0,Sedan,Vàng,Đen,5,4,1285,Xe cũ,2018,1285,Tây Ninh
audi-a4,30000,Sedan,Đen,Đen,5,4,1400,Xe cũ,2017,1400,TP HCM
audi-a4,84000,Sedan,Trắng,Kem,5,4,580,Xe cũ,2010,580,Hà Nội
audi-a4,20000,Sedan,Trắng,Xám,5,4,1300,Xe cũ,2016,1300,TP HCM
audi-a4,30000,Sedan,Đen,Đen,5,4,1488,Xe cũ,2018,1488,TP HCM
audi-a4,55000,Sedan,Đen,Nâu,5,4,150,Xe cũ,2015,150,TP HCM
audi-a4,30000,Sedan,Đen,Đen,5,4,1550,Xe cũ,2017,1550,TP HCM
audi-a4,62000,Sedan,Xanh,Đen,5,4,698,Xe cũ,2013,698,Hà Nội
audi-a4,33000,Sedan,Trắng,Nâu,5,4,1350,Xe cũ,2018,1350,TP HCM
audi-a4,0,Sedan,Đen,Đen,5,4,1280,Xe cũ,2016,1280,TP HCM
audi-a4,2700,Sedan,Xanh,Xanh,5,4,1260,Xe cũ,2017,1260,Hà Nội
audi-q7,27000,SUV,Trắng,Nâu,7,5,2640,Xe cũ,2016,2640,Hà Nội
audi-q7,90000,SUV,Đen,Đen,7,5,595,Xe cũ,2008,595,Hải Phòng
audi-q7,0,SUV,Xanh,Đen,7,5,195,Xe cũ,2011,195,Hà Nội
audi-q7,38000,SUV,Đen,Nâu,7,5,2480,Xe cũ,2016,2480,Hà Nội
audi-q7,0,SUV,Trắng,Màu khác,7,5,580,Xe cũ,2007,580,TP HCM
audi-q7,12720,SUV,Xám,Đen,7,5,575,Xe cũ,2007,575,Hà Nội
audi-q7,29000,SUV,Trắng,Đen,7,5,2550,Xe cũ,2016,2550,TP HCM
audi-q7,0,SUV,Bạc,Kem,7,5,560,Xe cũ,2007,560,Hà Nội
audi-q7,70000,SUV,Đen,Nâu,7,5,2450,Xe cũ,2016,2450,Hà Nội
audi-q7,0,SUV,Trắng,Kem,7,5,2600,Xe cũ,2016,2600,TP HCM
audi-q7,22000,SUV,Trắng,Nâu,7,5,2650,Xe cũ,2016,2650,TP HCM
audi-q7,19000,SUV,Đen,-,7,5,2450,Xe cũ,2016,2450,Bình Dương
audi-q7,100000,SUV,Bạc,Đen,7,5,690,Xe cũ,2007,690,Hà Nội
audi-q7,80000,SUV,Đen,Nhiều màu,7,5,595,Xe cũ,2008,595,Hà Nội
audi-q7,48000,SUV,Đen,Đen,7,5,2680,Xe cũ,2017,2680,Hà Nội
audi-q7,85000,SUV,Bạc,Đen,7,5,460,Xe cũ,2007,460,Ninh Bình
audi-q7,0,SUV,Đen,Kem,7,5,980,Xe cũ,2007,980,TP HCM
audi-q7,48000,SUV,Đen,Đen,7,5,2680,Xe cũ,2017,2680,Hà Nội
audi-q7,86000,SUV,Trắng,-,7,5,510,Xe cũ,2007,510,TP HCM
audi-q7,78000,SUV,Vàng,Đen,7,5,690,Xe cũ,2009,690,TP HCM
audi-q7,78000,SUV,Xám,-,7,5,680,Xe cũ,2008,680,TP HCM
audi-q7,0,SUV,Xám,Đen,7,5,1120,Xe cũ,2011,1120,Hà Nội
audi-q7,66000,SUV,Trắng,Đen,7,5,1180,Xe cũ,2011,1180,Cần Thơ
audi-q7,81000,SUV,Vàng,Đen,7,5,1380,Xe cũ,2014,1380,Hà Nội
audi-q7,50000,SUV,Đen,Nâu,7,5,2300,Xe cũ,2016,2300,Hà Nội
audi-q7,128000,SUV,Đen,Nâu,7,5,850,Xe cũ,2007,850,Lâm Đồng
audi-q7,60000,SUV,Đen,Nâu,7,5,2290,Xe cũ,2016,2290,Hà Nội
audi-q7,48000,SUV,Đen,-,7,5,2680,Xe cũ,2017,2680,Hà Nội
audi-q7,66000,SUV,Xám,Đen,7,5,739,Xe cũ,2010,739,TP HCM
audi-q7,30000,SUV,Trắng,Vàng,7,5,1379,Xe cũ,2012,1379,TP HCM
audi-q7,45000,SUV,Trắng,Kem,7,5,2580,Xe cũ,2016,2580,Hà Nội
audi-q7,74000,SUV,Đen,Màu khác,7,5,980,Xe cũ,2010,980,Hà Nội
audi-q7,120000,SUV,Đen,Đen,7,5,550,Xe cũ,2007,550,Hà Nội
audi-q7,35000,SUV,Đen,Nâu,7,5,2299,Xe cũ,2016,2299,Hà Nội
audi-q7,0,SUV,Bạc,Màu khác,7,5,600,Xe cũ,2007,600,TP HCM
audi-q7,0,SUV,Ghi,Ghi,7,5,599,Xe cũ,2008,599,Hà Nội
audi-q7,15000,SUV,Trắng,Nâu,7,5,2650,Xe cũ,2017,2650,TP HCM
audi-q7,19000,SUV,Cát,Nâu,7,5,2360,Xe cũ,2016,2360,TP HCM
audi-q7,0,SUV,Đen,Kem,7,5,848,Xe cũ,2010,848,Bình Dương
audi-q7,0,SUV,Xám,Đen,7,5,1620,Xe cũ,2014,1620,TP HCM
audi-q7,26000,SUV,Đen,Đen,7,5,2860,Xe cũ,2018,2860,Hà Nội
audi-q7,50000,SUV,Ghi,Nâu,7,5,2650,Xe cũ,2016,2650,Hà Nội
audi-q7,135000,SUV,Trắng,Đỏ,7,5,630,Xe cũ,2008,630,Đồng Nai
audi-q7,26000,SUV,Trắng,Nâu,7,5,2640,Xe cũ,2016,2640,Hà Nội
audi-q7,26000,SUV,Trắng,Nâu,7,5,2600,Xe cũ,2017,2600,TP HCM
audi-q7,65000,SUV,Đen,Đen,7,5,1520,Xe cũ,2015,1520,TP HCM
audi-q7,100000,SUV,Đen,Đen,7,5,600,Xe cũ,2006,600,TP HCM
audi-q7,80000,SUV,Ghi,Đen,7,5,650,Xe cũ,2008,650,Hà Nội
audi-q7,0,SUV,Trắng,-,7,5,1420,Xe cũ,2014,1420,Hà Nội
audi-q7,56000,SUV,Trắng,Trắng,7,5,690,Xe cũ,2007,690,TP HCM
audi-q7,0,SUV,Cát,Nâu,7,5,720,Xe cũ,2007,720,TP HCM
audi-a5,66666,Convertible/Cabriolet,Đen,Đỏ,4,2,1150,Xe cũ,2010,1150,Hà Nội
audi-a5,0,Coupe,Trắng,Ghi,4,2,850,Xe cũ,2009,850,TP HCM
audi-a5,68000,Sedan,Xanh,Kem,5,4,990,Xe cũ,2015,990,TP HCM
audi-a5,0,Sedan,Đen,Đen,5,4,970,Xe cũ,2013,970,TP HCM
audi-a5,50000,Sedan,Đen,Kem,5,4,1220,Xe cũ,2015,1220,Hà Nội
audi-a5,0,Sedan,Đỏ,Đen,5,4,150,Xe cũ,2013,150,Hà Nội
audi-a5,89000,Coupe,Đỏ,Đen,4,2,799,Xe cũ,2011,799,Hà Nội
audi-a5,65744,Sedan,Trắng,Kem,5,4,880,Xe cũ,2012,880,Hà Nội
audi-a5,88888,Sedan,Xanh,Đen,5,4,866,Xe cũ,2013,866,Hà Nội
audi-a5,60000,Sedan,Đen,Đen,5,4,886,Xe cũ,2013,886,TP HCM
audi-a5,38000,Sedan,Xám,Ghi,5,4,850,Xe cũ,2012,850,TP HCM
audi-a5,68888,Convertible/Cabriolet,Trắng,Đỏ,4,2,1150,Xe cũ,2010,1150,Hà Nội
audi-a5,7,Convertible/Cabriolet,Trắng,Màu khác,4,2,1150,Xe cũ,2011,1150,Hà Nội
audi-a5,69,Sedan,Đỏ,Màu khác,5,4,190,Xe cũ,2014,190,Hà Nội
audi-a5,68800,Convertible/Cabriolet,Trắng,Đỏ,4,2,1150,Xe cũ,2011,1150,Hà Nội
audi-a5,30000,Sedan,Đen,Đen,5,4,1830,Xe cũ,2017,1830,Hà Nội
audi-a5,69000,Coupe,Xanh,Đỏ,4,2,835,Xe cũ,2008,835,TP HCM
audi-a5,0,Sedan,Trắng,Kem,5,4,925,Xe cũ,2012,925,Hà Nội
audi-a5,86000,Sedan,Trắng,Kem,5,4,845,Xe cũ,2012,845,Hà Nội
audi-a5,86000,Sedan,Trắng,Nâu,5,4,950,Xe cũ,2012,950,Hà Nội
audi-a5,3000,Sedan,Đen,Đen,5,4,1890,Xe cũ,2017,1890,Hà Nội
audi-a8,100000,Sedan,Đen,Nhiều màu,5,4,700,Xe cũ,2008,700,Thái Nguyên
audi-a8,13099,Sedan,Đen,Kem,5,4,2990,Xe cũ,2016,2990,Hà Nội
audi-a8,13000,Sedan,Đen,Kem,5,4,2950,Xe cũ,2016,2950,Hà Nội
audi-a8,0,Sedan,Trắng,Kem,5,4,1620,Xe cũ,2010,1620,TP HCM
audi-a8,50000,Sedan,Trắng,Nâu,5,4,2530,Xe cũ,2014,2530,Hà Nội
audi-a8,40000,Sedan,Vàng,Nâu,5,4,1390,Xe cũ,2010,1390,Hà Nội
audi-a8,60000,Sedan,Đen,Kem,5,4,2450,Xe cũ,2014,2450,Hà Nội
audi-a8,0,Sedan,Trắng,Ghi,5,4,1350,Xe cũ,2011,1350,TP HCM
audi-a8,0,Sedan,Bạc,Màu khác,5,4,1450,Xe cũ,2013,1450,TP HCM
audi-a8,57998,Sedan,Trắng,Nâu,5,4,1770,Xe cũ,2011,1770,TP HCM
audi-a8,68000,Sedan,Trắng,Trắng,5,4,1699,Xe cũ,2012,1699,Bắc Giang
audi-a8,66642,Sedan,Đen,Kem,5,4,1599,Xe cũ,2011,1599,TP HCM
audi-a1,0,Hatchback,Đỏ,Đỏ,4,2,455,Xe cũ,2010,455,Hà Nội
audi-a1,0,Hatchback,Đỏ,Nhiều màu,4,3,455,Xe cũ,2011,455,Hà Nội
audi-a1,0,Hatchback,Đỏ,Nhiều màu,4,4,478,Xe cũ,2010,478,Thừa Thiên Huế
audi-a3,82000,Sedan,Đen,Nâu,5,4,688,Xe cũ,2013,688,Hà Nội
audi-a3,45000,Hatchback,Trắng,Vàng,5,4,720,Xe cũ,2011,720,Hà Nội
audi-a3,40000,Hatchback,Trắng,Nâu,5,5,699,Xe cũ,2013,699,Hà Nội
audi-a3,61000,Sedan,Trắng,Nâu,5,4,680,Xe cũ,2013,680,Hà Nội
audi-a3,30000,Sedan,Đen,Đen,5,4,680,Xe cũ,2014,680,Hà Nội
audi-a3,61000,Sedan,Trắng,Nâu,5,4,750,Xe cũ,2014,750,TP HCM
audi-a3,71000,Sedan,Đỏ,-,5,4,690,Xe cũ,2013,690,Đà Nẵng
audi-a7,46000,Sedan,Trắng,Nâu,5,4,1450,Xe cũ,2012,1450,Hà Nội
audi-a7,0,Sedan,Vàng,Màu khác,5,4,150,Xe cũ,2012,150,TP HCM
audi-a7,90000,Sedan,Đen,Kem,5,4,1645,Xe cũ,2014,1645,Hà Nội
audi-a7,38000,Sedan,Trắng,Đen,5,4,2200,Xe cũ,2015,2200,Hà Nội
audi-q3,50000,Crossover,Nâu,Kem,5,5,960,Xe cũ,2015,960,Hà Nội
audi-q3,51336,Crossover,Cam,Đen,5,5,780,Xe cũ,2012,780,Bà Rịa Vũng Tàu
audi-q3,52000,Crossover,Ghi,Kem,5,5,950,Xe cũ,2015,950,Hà Nội
audi-q3,0,Crossover,Bạc,Ghi,5,5,180,Xe cũ,2014,180,Hà Nội
audi-q3,50000,Crossover,Nâu,Kem,5,5,960,Xe cũ,2014,960,Hà Nội
audi-Q8,0,SUV,Cát,Kem,5,5,4600,Xe mới,2019,4600,Hà Nội
audi-tt,40000,Coupe,Xám,Nâu,4,2,699,Xe cũ,2008,699,TP HCM
audi-tt,53000,Coupe,Trắng,Đen,4,2,768,Xe cũ,2009,768,TP HCM
audi-tt,0,Coupe,Đỏ,Đen,4,2,1600,Xe cũ,2016,1600,TP HCM
audi-tt,31000,Coupe,Đen,Đen,4,2,1620,Xe cũ,2016,1620,TP HCM
audi-tt,0,Coupe,Đỏ,Kem,4,2,750,Xe cũ,2009,750,TP HCM
audi-tt,40000,Coupe,Xanh,-,4,3,1575,Xe cũ,2015,1575,TP HCM
audi-tt,62,Coupe,Trắng,Cam,4,2,690,Xe cũ,2008,690,TP HCM
audi-tt,23000,Coupe,Trắng,Đen,4,2,1739,Xe cũ,2015,1739,TP HCM
audi-tt,60000,Coupe,Đen,-,4,2,730,Xe cũ,2008,730,Hà Nội
bmw-3_series,14000,Sedan,Trắng,Kem,5,4,1299,Xe cũ,2018,1299,Hà Nội
bmw-3_series,0,Convertible/Cabriolet,Trắng,Đen,4,2,180,Xe cũ,2009,180,TP HCM
bmw-3_series,42000,Convertible/Cabriolet,Trắng,Kem,4,2,1250,Xe cũ,2012,1250,Hà Nội
bmw-3_series,8000,Sedan,Trắng,Kem,5,4,1299,Xe cũ,2018,1299,Hà Nội
bmw-3_series,146000,Sedan,Đen,Xanh,5,4,210,Xe cũ,1998,210,TP HCM
bmw-3_series,19000,Sedan,Trắng,Đen,5,4,1120,Xe cũ,2016,1120,Hà Nội
bmw-3_series,17000,Sedan,Đen,Kem,5,4,1345,Xe cũ,2018,1345,Hà Nội
bmw-3_series,60000,Sedan,Đen,Kem,5,4,399,Xe cũ,2009,399,TP HCM
bmw-3_series,201688,Sedan,Đen,Xám,5,4,255,Xe cũ,2005,255,Phú Thọ
bmw-3_series,48000,Sedan,Bạc,Kem,5,4,438,Xe cũ,2010,438,TP HCM
bmw-3_series,14000,Sedan,Trắng,Kem,5,4,1299,Xe cũ,2018,1299,Hà Nội
bmw-3_series,56000,Sedan,Vàng,Đen,5,4,396,Xe cũ,2011,396,TP HCM
bmw-3_series,0,Sedan,Trắng,Đen,5,4,1879,Xe mới,2020,1879,Hà Nội
bmw-3_series,88000,Sedan,Trắng,Đen,5,4,510,Xe cũ,2011,510,Bà Rịa Vũng Tàu
bmw-3_series,0,Sedan,Xanh,Kem,5,4,150,Xe cũ,2016,150,Hà Nội
bmw-3_series,30000,Sedan,Trắng,Ghi,5,4,999,Xe cũ,2016,999,Hải Phòng
bmw-3_series,0,Sedan,Trắng,Đen,5,4,939,Xe cũ,2016,939,Hà Nội
bmw-3_series,48000,Sedan,Trắng,Kem,5,4,548,Xe cũ,2011,548,Hà Nội
bmw-3_series,98000,Sedan,Đỏ,Kem,5,4,420,Xe cũ,2010,420,Bà Rịa Vũng Tàu
bmw-3_series,66000,Sedan,Đỏ,Kem,5,4,935,Xe cũ,2015,935,Hà Nội
bmw-3_series,0,Sedan,Đỏ,Kem,5,4,2159,Xe mới,2020,2159,TP HCM
bmw-3_series,1755666,Sedan,Đen,Kem,5,4,365,Xe cũ,2008,365,Bắc Giang
bmw-3_series,18000,Sedan,Đen,Kem,5,4,1345,Xe cũ,2018,1345,Hà Nội
bmw-3_series,112000,Sedan,Đen,Kem,5,4,350,Xe cũ,2007,350,Hà Nội
bmw-3_series,48000,Convertible/Cabriolet,Trắng,Đen,4,2,1250,Xe cũ,2013,1250,Hà Nội
bmw-3_series,27000,Sedan,Trắng,Kem,5,4,1120,Xe cũ,2016,1120,Hà Nội
bmw-3_series,70000,Sedan,Nâu,Kem,5,4,960,Xe cũ,2014,960,TP HCM
bmw-3_series,40000,Sedan,Đen,Kem,5,4,120,Xe cũ,2016,120,Hà Nội
bmw-3_series,132652,Sedan,Nâu,Đen,5,4,415,Xe cũ,2009,415,Hà Nội
bmw-3_series,28000,Sedan,Trắng,Kem,5,4,1120,Xe cũ,2016,1120,Hà Nội
bmw-3_series,0,Sedan,Trắng,Nâu,5,4,2389,Xe mới,2020,2389,Hà Nội
bmw-3_series,0,Sedan,Trắng,Kem,5,4,948,Xe cũ,2014,948,Hà Nội
bmw-3_series,86000,Sedan,Đen,Đen,5,4,435,Xe cũ,2009,435,Thái Nguyên
bmw-3_series,1,Sedan,Đen,Đen,5,4,179,Xe cũ,2003,179,Hải Dương
bmw-3_series,37189,Sedan,Trắng,Kem,5,4,1299,Xe cũ,2016,1299,Hà Nội
